target,listing_type,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms
1205,Apartment,Hyper equipped,Renovated,1083,No,Yes,Unknown,1.0,70,12,1
920,Other,Hyper equipped,Renovated,1083,No,Yes,Unknown,1.0,42,10,1
2200,Other,Hyper equipped,Renovated,1150,No,Yes,No,3.0,173,18,5
1775,Apartment,Hyper equipped,Renovated,,No,Yes,No,2.0,144,13,3
1380,Apartment,Semi equipped,Renovated,1150,No,Yes,No,1.0,100,15,2
850,Apartment,Hyper equipped,Good,1190,No,Yes,No,1.0,60,12,2
1100,Apartment,Installed,Good,1000,No,Yes,No,1.0,74,16,1
1400,Apartment,Not installed,Renovated,1160,No,Yes,Unknown,1.0,100,12,3
905,Other,Hyper equipped,Renovated,1180,No,Yes,No,1.0,47,10,1
1100,Other,Hyper equipped,Renovated,1040,No,Yes,Yes,1.0,38,10,1
1750,Apartment,Installed,Renovated,1160,No,Yes,Yes,1.0,72,14,1
1200,Apartment,Hyper equipped,Renovated,1000,No,No,Yes,1.0,60,12,1
1340,Apartment,Installed,Renovated,1150,No,Yes,No,1.0,80,13,1
1330,Apartment,Hyper equipped,Renovated,1160,No,Yes,No,1.0,90,14,2
2100,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,2.0,139,14,2
1180,Apartment,Not installed,Renovated,1080,No,Yes,Unknown,1.0,100,20,2
1250,Other,Hyper equipped,Good,1150,No,Yes,No,1.0,100,12,2
1250,Other,Hyper equipped,Good,1150,No,Yes,No,1.0,100,12,2
900,Apartment,Not installed,Renovated,1080,No,Yes,No,1.0,98,15,2
1650,Other,Hyper equipped,Renovated,1040,No,Yes,No,2.0,135,22,3
4100,Other,Hyper equipped,Renovated,1000,No,Yes,Yes,3.0,220,26,2
1850,Apartment,Not installed,Good,1160,No,No,Unknown,2.0,128,10,3
1480,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,1.0,120,14,2
2050,Other,Hyper equipped,Renovated,1050,No,Yes,No,3.0,133,21,3
1500,Apartment,Hyper equipped,Renovated,1200,No,Yes,No,1.0,100,16,2
2030,Apartment,Hyper equipped,Renovated,1000,No,No,Yes,1.0,128,10,2
1700,Other,Installed,Good,,No,Yes,No,2.0,95,17,2
1390,Apartment,Not installed,Good,1050,No,Yes,No,1.0,120,10,2
1700,Other,Hyper equipped,Renovated,1050,No,Yes,No,2.0,131,14,2
1230,Apartment,Installed,Good,1170,No,Yes,No,1.0,66,10,2
1590,Apartment,Installed,Renovated,1000,No,Yes,Yes,1.0,82,14,2
1590,Other,Installed,Renovated,1050,No,Yes,Yes,1.0,82,14,2
1170,Apartment,Installed,Renovated,1000,No,Yes,No,1.0,57,14,1
1450,Apartment,Installed,Renovated,1190,No,Yes,No,1.0,100,18,2
1290,Apartment,Not installed,Good,1000,No,Yes,No,1.0,110,10,2
1375,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,1.0,95,17,3
1660,Apartment,Hyper equipped,Good,1000,No,Yes,No,1.0,115,14,2
1000,Other,Hyper equipped,Good,1180,No,Yes,No,1.0,75,15,1
750,Other,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,40,10,1
1300,Apartment,Installed,Good,,No,No,Unknown,1.0,128,10,1
750,Other,Installed,Renovated,1050,No,Yes,Unknown,1.0,128,10,1
4930,Other,Hyper equipped,Good,1180,No,No,Yes,3.0,180,10,3
950,Apartment,Hyper equipped,Renovated,1000,No,Yes,Yes,1.0,56,10,1
1085,Apartment,Hyper equipped,Renovated,1070,No,Yes,Yes,1.0,44,8,1
900,Apartment,Not installed,Good,1050,No,No,Unknown,1.0,128,10,2
1705,Apartment,Not installed,Renovated,1000,No,Yes,No,1.0,85,11,2
2025,Other,Not installed,Renovated,1000,No,Yes,No,1.0,120,15,3
1580,Apartment,Installed,Renovated,1050,No,Yes,No,2.0,100,18,2
2650,Apartment,Hyper equipped,Renovated,1180,No,Yes,No,3.0,145,10,3
1430,Other,Installed,Good,1180,No,Yes,No,1.0,80,15,2
1650,Apartment,Installed,Good,1180,No,Yes,No,1.0,125,16,2
900,Apartment,Hyper equipped,Renovated,1200,No,Yes,Unknown,1.0,50,8,1
950,Apartment,Installed,Good,,No,No,Yes,1.0,109,68,1
1225,Other,Hyper equipped,Renovated,1050,No,Yes,No,1.0,95,17,2
2000,Other,Hyper equipped,Good,1000,No,Yes,No,2.0,115,27,2
3200,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,3.0,180,20,2
1175,Apartment,Installed,Renovated,1050,No,Yes,No,1.0,70,10,1
860,Apartment,Installed,Good,1050,No,No,Unknown,1.0,128,10,1
1050,Apartment,Not installed,Renovated,,No,Yes,Unknown,1.0,128,14,2
910,Apartment,Installed,Renovated,1090,No,Yes,Unknown,1.0,68,16,1
1100,Apartment,Hyper equipped,Renovated,1040,No,Yes,Yes,1.0,55,12,1
950,Other,Installed,Renovated,1050,No,Yes,No,2.0,72,11,1
1395,Apartment,Hyper equipped,Good,,No,Yes,No,3.0,105,14,2
1100,Other,Hyper equipped,Renovated,1060,No,Yes,Yes,1.0,50,15,1
1100,Apartment,Hyper equipped,Good,1050,No,Yes,Yes,1.0,50,10,1
