target,listing_type,kitchen_type,building_condition,postcode,double_glazing,bathroom,m2,number_bedrooms
1850,Apartment,Not installed,Good,1160,No,2.0,128,3
1480,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,120,2
2050,Other,Hyper equipped,Renovated,1050,Yes,3.0,133,3
1500,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,100,2
2030,Apartment,Hyper equipped,Renovated,1000,No,1.0,128,2
1700,Other,Installed,Good,,Yes,2.0,95,2
1390,Apartment,Not installed,Good,1050,Yes,1.0,120,2
1700,Other,Hyper equipped,Renovated,1050,Yes,2.0,131,2
1230,Apartment,Installed,Good,1170,Yes,1.0,66,2
1590,Apartment,Installed,Renovated,1000,Yes,1.0,82,2
1590,Other,Installed,Renovated,1050,Yes,1.0,82,2
1170,Apartment,Installed,Renovated,1000,Yes,1.0,57,1
1450,Apartment,Installed,Renovated,1190,Yes,1.0,100,2
1290,Apartment,Not installed,Good,1000,Yes,1.0,110,2
1375,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,95,3
1660,Apartment,Hyper equipped,Good,1000,Yes,1.0,115,2
1000,Other,Hyper equipped,Good,1180,Yes,1.0,75,1
750,Other,Hyper equipped,Renovated,1050,Yes,1.0,40,1
1300,Apartment,Installed,Good,,No,1.0,128,1
750,Other,Installed,Renovated,1050,Yes,1.0,128,1
4930,Other,Hyper equipped,Good,1180,No,3.0,180,3
950,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,56,1
1085,Apartment,Hyper equipped,Renovated,1070,Yes,1.0,44,1
900,Apartment,Not installed,Good,1050,No,1.0,128,2
1705,Apartment,Not installed,Renovated,1000,Yes,1.0,85,2
2025,Other,Not installed,Renovated,1000,Yes,1.0,120,3
1580,Apartment,Installed,Renovated,1050,Yes,2.0,100,2
2650,Apartment,Hyper equipped,Renovated,1180,Yes,3.0,145,3
1430,Other,Installed,Good,1180,Yes,1.0,80,2
1650,Apartment,Installed,Good,1180,Yes,1.0,125,2
900,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,50,1
950,Apartment,Installed,Good,,No,1.0,109,1
1225,Other,Hyper equipped,Renovated,1050,Yes,1.0,95,2
2000,Other,Hyper equipped,Good,1000,Yes,2.0,115,2
3200,Apartment,Hyper equipped,Renovated,1050,Yes,3.0,180,2
1175,Apartment,Installed,Renovated,1050,Yes,1.0,70,1
860,Apartment,Installed,Good,1050,No,1.0,128,1
1050,Apartment,Not installed,Renovated,,Yes,1.0,128,2
910,Apartment,Installed,Renovated,1090,Yes,1.0,68,1
1100,Apartment,Hyper equipped,Renovated,1040,Yes,1.0,55,1
950,Other,Installed,Renovated,1050,Yes,2.0,72,1
1395,Apartment,Hyper equipped,Good,,Yes,3.0,105,2
1100,Other,Hyper equipped,Renovated,1060,Yes,1.0,50,1
1100,Apartment,Hyper equipped,Good,1050,Yes,1.0,50,1
1080,Apartment,Hyper equipped,Good,1000,Yes,1.0,70,2
1100,Apartment,Installed,Good,1030,No,1.0,90,2
2400,Other,Hyper equipped,Good,1180,Yes,4.0,132,4
