target,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms,Municipality
705,Not installed,Renovated,1150,No,Yes,No,1,40,10,1,Woluwe-St-Pierre
1700,Hyper equipped,Good,1180,No,Yes,No,2,115,18,2,Uccle
850,Hyper equipped,Renovated,1180,No,Yes,No,1,128,60,1,Uccle
1350,Installed,Good,1180,No,No,No,3,105,15,2,Uccle
2050,Hyper equipped,Good,1180,No,Yes,No,2,134,20,3,Uccle
1400,Not installed,Good,1083,No,Yes,No,2,95,15,3,Ganshoren
3000,Installed,Good,1050,No,No,Yes,3,284,22,3,Ixelles
980,Not installed,Good,1000,No,Yes,Unknown,1,128,10,1,Brussels City
2210,Hyper equipped,Renovated,1160,No,Yes,No,2,115,12,3,Auderghem
2100,Hyper equipped,Renovated,1050,No,Yes,No,2,135,16,3,Ixelles
2250,Installed,Renovated,1180,No,Yes,Yes,2,76,14,3,Uccle
1450,Hyper equipped,Renovated,1030,No,Yes,Unknown,2,130,15,3,Schaerbeek
2650,Installed,Good,1050,No,Yes,No,3,184,10,3,Ixelles
3000,Hyper equipped,Renovated,1050,No,Yes,No,2,220,27,3,Ixelles
1310,Hyper equipped,Renovated,1160,No,Yes,Unknown,2,90,14,2,Auderghem
1000,Hyper equipped,Good,1050,No,No,Yes,1,70,10,1,Ixelles
1200,Installed,Good,1180,No,No,No,1,92,18,2,Uccle
1170,Installed,Good,1050,No,Yes,No,1,87,10,1,Ixelles
1400,Hyper equipped,Renovated,1060,No,Yes,Yes,1,65,12,2,Saint-Gilles
2050,Installed,Renovated,1150,No,Yes,No,2,180,10,3,Woluwe-St-Pierre
1750,Installed,Renovated,1180,No,Yes,Yes,2,85,15,2,Uccle
975,Installed,Good,1050,No,No,No,0,70,12,1,Ixelles
2375,Hyper equipped,Renovated,1140,No,Yes,Yes,2,134,24,3,Evere
1725,Hyper equipped,Renovated,1160,No,Yes,Yes,1,75,16,2,Auderghem
1725,Hyper equipped,Renovated,1050,No,Yes,Yes,1,71,11,2,Ixelles
1500,Hyper equipped,Renovated,1000,No,Yes,Yes,1,91,14,2,Brussels City
2500,Hyper equipped,Renovated,1140,No,Yes,Yes,2,118,14,3,Evere
2100,Hyper equipped,Renovated,1040,No,Yes,Yes,2,93,12,3,Etterbeek
1150,Semi equipped,Renovated,1050,No,No,Unknown,1,60,9,1,Ixelles
1750,Hyper equipped,Renovated,1140,No,Yes,Yes,1,84,15,2,Evere
1030,Hyper equipped,Renovated,1140,No,Yes,Yes,1,45,8,1,Evere
2130,Hyper equipped,Renovated,1160,No,Yes,No,2,139,18,3,Auderghem
3500,Hyper equipped,Renovated,1150,No,Yes,No,3,285,25,3,Woluwe-St-Pierre
2130,Hyper equipped,Renovated,1170,No,Yes,No,2,139,18,3,Watermael-Boitsfort
725,Not installed,Good,1040,No,No,Unknown,0,128,10,1,Etterbeek
820,Installed,Renovated,1000,No,Yes,No,1,128,10,1,Brussels City
800,Installed,Renovated,1000,No,Yes,No,1,128,10,1,Brussels City
800,Installed,Renovated,1000,No,Yes,No,1,128,10,1,Brussels City
820,Installed,Renovated,1000,No,Yes,No,1,128,10,1,Brussels City
800,Installed,Renovated,1000,No,Yes,No,1,128,10,1,Brussels City
800,Installed,Renovated,1000,No,Yes,No,1,128,10,1,Brussels City
900,Hyper equipped,Renovated,1080,No,Yes,No,1,45,6,1,Molenbeek-Saint-Jean
715,Not installed,Good,1060,No,Yes,No,1,56,10,1,Saint-Gilles
975,Not installed,Good,1030,No,No,Unknown,0,128,10,1,Schaerbeek
995,Installed,Renovated,1140,No,Yes,Unknown,1,45,14,1,Evere
2600,Hyper equipped,Renovated,1060,No,Yes,No,3,240,18,5,Saint-Gilles
2950,Not installed,Renovated,1180,No,Yes,No,1,145,32,2,Uccle
1800,Hyper equipped,Good,1180,No,Yes,No,2,140,17,3,Uccle
1750,Hyper equipped,Renovated,1180,No,Yes,No,2,119,15,2,Uccle
1600,Hyper equipped,Renovated,1150,No,Yes,No,1,100,16,2,Woluwe-St-Pierre
1950,Hyper equipped,Renovated,1050,No,Yes,Yes,2,80,14,2,Ixelles
1950,Hyper equipped,Renovated,1050,No,Yes,Yes,2,80,14,2,Ixelles
1050,Hyper equipped,Renovated,1050,No,Yes,No,1,60,12,1,Ixelles
1150,Installed,Renovated,1200,No,Yes,Unknown,1,75,12,2,Woluwe-Saint-Lambert
900,Not installed,Good,1180,No,Yes,No,1,50,10,1,Uccle
1150,Hyper equipped,Renovated,1000,No,Yes,No,1,70,17,1,Brussels City
1530,Hyper equipped,Renovated,1050,No,Yes,No,1,70,15,2,Ixelles
2100,Hyper equipped,Renovated,1180,No,Yes,No,2,160,20,3,Uccle
1950,Installed,Renovated,1180,No,Yes,No,2,129,18,2,Uccle
2250,Hyper equipped,Good,1180,No,Yes,No,3,180,15,4,Uccle
1950,Hyper equipped,Renovated,1180,No,Yes,No,2,119,19,3,Uccle
2930,Hyper equipped,Renovated,1180,No,Yes,Yes,3,200,20,2,Uccle
1350,Hyper equipped,Good,1083,No,Yes,No,2,106,14,3,Ganshoren
2470,Hyper equipped,Renovated,1150,No,Yes,No,2,143,19,2,Woluwe-St-Pierre
2201,Hyper equipped,Good,1180,No,Yes,No,3,180,20,2,Uccle
2500,Hyper equipped,Renovated,1180,No,Yes,No,2,132,15,3,Uccle
680,Not installed,Good,1200,No,Yes,No,1,35,10,1,Woluwe-Saint-Lambert
1200,Installed,Renovated,1200,No,Yes,No,1,100,17,2,Woluwe-Saint-Lambert
1970,Hyper equipped,Renovated,1050,No,Yes,Yes,1,100,15,2,Ixelles
1345,Installed,Good,1050,No,Yes,No,1,80,10,1,Ixelles
1895,Hyper equipped,Renovated,1000,No,Yes,No,2,106,10,3,Brussels City
1200,Installed,Good,1000,No,No,Unknown,1,80,10,2,Brussels City
980,Installed,Good,1040,No,Yes,No,1,70,10,1,Etterbeek
2200,Installed,Good,1180,No,No,No,2,220,10,1,Uccle
1200,Hyper equipped,Renovated,1200,No,Yes,Unknown,1,65,16,1,Woluwe-Saint-Lambert
1500,Hyper equipped,Renovated,1150,No,Yes,Unknown,2,96,16,2,Woluwe-St-Pierre
1420,Hyper equipped,Renovated,1200,No,Yes,Unknown,2,106,12,2,Woluwe-Saint-Lambert
950,Installed,Renovated,1140,No,Yes,Unknown,1,43,10,1,Evere
1400,Not installed,Good,1150,No,Yes,Unknown,1,85,12,2,Woluwe-St-Pierre
1200,Installed,Good,1000,No,Yes,Yes,1,65,10,1,Brussels City
1170,Hyper equipped,Good,1190,No,Yes,Yes,1,55,14,1,Forest
975,Not installed,Good,1040,No,Yes,No,1,76,16,1,Etterbeek
1250,Hyper equipped,Renovated,1070,No,Yes,Yes,1,90,14,2,Anderlecht
750,Installed,Renovated,1030,No,Yes,Yes,1,35,10,1,Schaerbeek
1040,Not installed,Renovated,1170,No,Yes,No,1,75,17,1,Watermael-Boitsfort
1300,Hyper equipped,Renovated,1000,No,Yes,Yes,1,70,10,1,Brussels City
1500,Not installed,Good,1050,No,Yes,Yes,0,100,10,1,Ixelles
960,Hyper equipped,Good,1030,No,Yes,No,1,60,11,1,Schaerbeek
1025,Not installed,Good,1140,No,Yes,Unknown,1,128,10,2,Evere
1675,Installed,Renovated,1050,No,Yes,No,2,105,15,2,Ixelles
785,Semi equipped,Renovated,1050,No,Yes,No,1,54,10,1,Ixelles
3930,Hyper equipped,Renovated,1050,No,Yes,No,2,155,16,2,Ixelles
1700,Installed,Good,1180,No,Yes,No,2,100,20,2,Uccle
1000,Installed,Renovated,1020,No,Yes,No,1,80,10,1,Laeken
940,Semi equipped,Good,1000,No,Yes,Unknown,1,128,10,2,Brussels City
1300,Hyper equipped,Renovated,1210,No,Yes,Yes,1,128,14,1,Saint-Josse-ten-Noode
950,Installed,Good,1060,No,Yes,Yes,1,60,10,1,Saint-Gilles
930,Not installed,Good,1040,No,Yes,No,2,56,10,1,Etterbeek
1400,Hyper equipped,Good,1180,No,No,Yes,1,60,10,1,Uccle
900,Installed,Good,1030,No,No,No,1,75,10,1,Schaerbeek
2070,Installed,Renovated,1000,No,Yes,Unknown,2,98,14,2,Brussels City
3000,Hyper equipped,Renovated,1050,No,Yes,Yes,2,136,20,2,Ixelles
1300,Installed,Renovated,1050,No,Yes,No,1,80,17,1,Ixelles
1070,Not installed,Good,1040,No,No,No,1,50,10,1,Etterbeek
3525,Hyper equipped,Good,1180,No,No,Yes,2,100,10,2,Uccle
1135,Installed,Good,1030,No,Yes,No,1,65,13,1,Schaerbeek
2500,Hyper equipped,Renovated,1050,No,Yes,Unknown,2,114,21,2,Ixelles
1100,Installed,Renovated,1000,No,Yes,Yes,1,65,10,1,Brussels City
1400,Hyper equipped,Renovated,1180,No,Yes,No,1,98,18,2,Uccle
2595,Hyper equipped,Renovated,1180,No,Yes,No,3,210,28,3,Uccle
835,Semi equipped,Good,1082,No,Yes,Unknown,1,122,18,2,Berchem-Sainte-Agathe
1350,Hyper equipped,Renovated,1060,No,Yes,Unknown,1,80,10,1,Saint-Gilles
1200,Semi equipped,Renovated,1000,No,Yes,No,1,130,10,3,Brussels City
815,Not installed,Good,1030,No,No,Unknown,1,90,10,1,Schaerbeek
2400,Not installed,Renovated,1050,No,Yes,No,2,200,10,4,Ixelles
1700,Not installed,Renovated,1000,No,Yes,Yes,2,115,10,2,Brussels City
2000,Hyper equipped,Renovated,1200,No,No,Yes,1,110,15,2,Woluwe-Saint-Lambert
1000,Hyper equipped,Good,1210,No,Yes,No,1,70,10,1,Saint-Josse-ten-Noode
1320,Installed,Renovated,1140,No,Yes,Unknown,1,70,10,1,Evere
2680,Hyper equipped,Renovated,1050,No,Yes,No,2,143,10,3,Ixelles
950,Not installed,Renovated,1000,No,Yes,No,1,45,10,1,Brussels City
1750,Semi equipped,Renovated,1050,No,Yes,No,2,160,25,3,Ixelles
1950,Installed,Renovated,1050,No,Yes,No,2,220,40,3,Ixelles
1350,Hyper equipped,Renovated,1083,No,Yes,No,1,115,15,3,Ganshoren
870,Installed,Good,1040,No,Yes,Unknown,1,75,19,1,Etterbeek
2150,Hyper equipped,Renovated,1000,No,Yes,No,1,125,15,3,Brussels City
850,Installed,Good,1160,No,Yes,No,1,51,17,1,Auderghem
1650,Hyper equipped,Renovated,1180,No,Yes,Yes,2,100,23,1,Uccle
4400,Hyper equipped,Renovated,1180,No,Yes,Yes,2,155,19,2,Uccle
4400,Hyper equipped,Renovated,1180,No,Yes,Yes,2,140,14,2,Uccle
3050,Hyper equipped,Renovated,1180,No,Yes,No,2,180,14,4,Uccle
4200,Hyper equipped,Renovated,1180,No,Yes,No,2,170,23,2,Uccle
4400,Hyper equipped,Renovated,1180,No,Yes,No,2,140,14,2,Uccle
4400,Hyper equipped,Renovated,1180,No,Yes,No,2,155,19,2,Uccle
