target,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms,Municipality
1800,Hyper equipped,Renovated,1000,No,Yes,Yes,2,125,15,2,Brussels City
1750,Hyper equipped,Renovated,1000,No,Yes,Yes,2,128,23,3,Brussels City
2350,Hyper equipped,Renovated,1050,No,Yes,Yes,1,130,10,2,Ixelles
1150,Not installed,Good,1160,No,Yes,No,1,85,10,1,Auderghem
800,Installed,Renovated,1000,No,Yes,Unknown,1,60,16,2,Brussels City
1850,Installed,Renovated,1050,No,Yes,No,2,145,25,2,Ixelles
1995,Installed,Good,1000,No,Yes,No,2,195,10,3,Brussels City
1395,Hyper equipped,Renovated,1040,No,Yes,No,1,85,10,2,Etterbeek
1395,Hyper equipped,Renovated,1040,No,Yes,No,1,85,10,2,Etterbeek
1400,Hyper equipped,Renovated,1000,No,Yes,Yes,1,90,10,2,Brussels City
630,Semi equipped,Good,1190,No,Yes,Unknown,1,35,10,1,Forest
1370,Installed,Good,1180,No,No,No,3,85,10,2,Uccle
1550,Hyper equipped,Renovated,1000,No,Yes,No,2,80,10,2,Brussels City
1340,Hyper equipped,Renovated,1030,No,Yes,No,2,95,10,2,Schaerbeek
1520,Hyper equipped,Renovated,1030,No,Yes,Yes,2,100,10,2,Schaerbeek
1400,Hyper equipped,Renovated,1030,No,Yes,No,2,97,10,2,Schaerbeek
1075,Hyper equipped,Renovated,1030,No,Yes,No,1,87,10,1,Schaerbeek
1900,Installed,Renovated,1040,No,Yes,No,2,160,21,3,Etterbeek
735,Installed,Renovated,1050,No,Yes,No,1,40,10,1,Ixelles
1100,Semi equipped,Good,1090,No,Yes,No,1,75,10,2,Jette
825,Installed,Good,1000,No,No,No,1,70,20,1,Brussels City
1470,Hyper equipped,Good,1180,No,No,No,2,103,10,2,Uccle
2380,Hyper equipped,Renovated,1060,No,Yes,No,2,175,18,3,Saint-Gilles
3620,Not installed,Renovated,1050,No,Yes,Yes,2,197,10,3,Ixelles
900,Hyper equipped,Good,1020,No,Yes,Unknown,1,80,10,1,Laeken
900,Installed,Good,1030,No,Yes,No,1,65,10,1,Schaerbeek
1325,Hyper equipped,Good,1180,No,Yes,No,1,75,15,2,Uccle
1210,Installed,Good,1050,No,Yes,No,1,72,10,2,Ixelles
2250,Hyper equipped,Good,1050,No,Yes,Yes,1,160,10,3,Ixelles
1050,Hyper equipped,Good,1000,No,Yes,Yes,1,128,10,1,Brussels City
1535,Installed,Good,1030,No,No,No,2,81,10,3,Schaerbeek
750,Not installed,Good,1030,No,Yes,Yes,1,50,10,1,Schaerbeek
1825,Hyper equipped,Renovated,1160,No,Yes,No,3,110,15,3,Auderghem
2150,Hyper equipped,Renovated,1180,No,Yes,Yes,2,120,16,3,Uccle
975,Not installed,Renovated,1000,No,Yes,Yes,1,40,10,1,Brussels City
1060,Not installed,Good,1050,No,No,Unknown,1,85,10,1,Ixelles
1600,Hyper equipped,Renovated,1060,No,No,Unknown,1,128,15,2,Saint-Gilles
1075,Hyper equipped,Renovated,1140,No,Yes,No,12,70,16,1,Evere
1700,Installed,Good,1050,No,No,No,1,130,25,2,Ixelles
1075,Installed,Renovated,1050,No,Yes,No,1,65,11,1,Ixelles
1050,Installed,Good,1180,No,Yes,Yes,1,40,10,1,Uccle
2500,Not installed,Good,1160,No,Yes,No,0,200,10,5,Auderghem
1780,Hyper equipped,Renovated,1040,No,Yes,No,2,105,15,2,Etterbeek
900,Installed,Renovated,1000,No,Yes,Yes,1,45,10,1,Brussels City
850,Not installed,Good,1030,No,No,Unknown,0,128,10,1,Schaerbeek
550,Installed,Good,1020,No,No,Unknown,1,40,10,1,Laeken
1000,Hyper equipped,Good,1180,No,Yes,Yes,1,40,10,1,Uccle
980,Semi equipped,Good,1050,No,Yes,No,1,74,10,1,Ixelles
970,Hyper equipped,Good,1210,No,Yes,No,1,70,10,1,Saint-Josse-ten-Noode
700,Hyper equipped,Good,1180,No,Yes,No,1,49,10,1,Uccle
1550,Hyper equipped,Good,1050,No,Yes,No,2,80,10,2,Ixelles
1300,Not installed,Good,1180,No,Yes,No,1,100,15,2,Uccle
1750,Hyper equipped,Good,1050,No,Yes,Yes,2,93,10,2,Ixelles
2570,Hyper equipped,Good,1050,No,Yes,No,1,135,10,3,Ixelles
800,Semi equipped,Renovated,1000,No,Yes,Yes,1,36,10,1,Brussels City
1750,Hyper equipped,Renovated,1000,No,Yes,Yes,1,93,10,2,Brussels City
1480,Hyper equipped,Renovated,1040,No,Yes,Yes,1,55,15,1,Etterbeek
2862,Hyper equipped,Renovated,1040,No,Yes,Yes,2,128,10,3,Etterbeek
2862,Hyper equipped,Renovated,1040,No,Yes,Yes,2,128,10,3,Etterbeek
1125,Hyper equipped,Renovated,1160,No,Yes,No,1,65,10,1,Auderghem
1125,Hyper equipped,Renovated,1160,No,Yes,No,1,76,10,1,Auderghem
810,Not installed,Good,1000,No,No,Unknown,1,65,22,1,Brussels City
995,Hyper equipped,Renovated,1200,No,Yes,No,1,74,10,1,Woluwe-Saint-Lambert
1708,Hyper equipped,Renovated,1081,No,Yes,Yes,0,112,10,3,Koekelberg
1350,Not installed,Good,1000,No,Yes,Yes,1,50,10,1,Brussels City
1549,Hyper equipped,Renovated,1081,No,Yes,Yes,0,110,10,2,Koekelberg
3560,Hyper equipped,Renovated,1050,No,Yes,No,2,220,10,3,Ixelles
1250,Not installed,Renovated,1050,No,Yes,No,1,70,10,1,Ixelles
2265,Not installed,Renovated,1050,No,Yes,No,1,130,16,2,Ixelles
3200,Not installed,Renovated,1050,No,Yes,No,2,164,24,2,Ixelles
2900,Not installed,Renovated,1050,No,Yes,No,2,230,29,5,Ixelles
1500,Not installed,Renovated,1050,No,Yes,No,1,90,18,2,Ixelles
1175,Not installed,Renovated,1050,No,Yes,No,1,70,10,1,Ixelles
1150,Not installed,Renovated,1050,No,Yes,No,1,60,13,1,Ixelles
2600,Not installed,Renovated,1050,No,Yes,No,1,150,20,3,Ixelles
1350,Not installed,Renovated,1050,No,Yes,Yes,1,65,15,1,Ixelles
1750,Not installed,Renovated,1050,No,Yes,No,1,90,17,2,Ixelles
4850,Not installed,Renovated,1050,No,Yes,No,2,194,17,3,Ixelles
6000,Not installed,Renovated,1050,No,Yes,No,2,235,18,3,Ixelles
2500,Installed,Renovated,1050,No,Yes,No,3,192,22,3,Ixelles
3550,Installed,Renovated,1050,No,Yes,No,3,170,19,3,Ixelles
3350,Not installed,Renovated,1050,No,Yes,No,2,130,22,2,Ixelles
3350,Not installed,Renovated,1050,No,Yes,No,2,130,22,2,Ixelles
3350,Not installed,Renovated,1050,No,Yes,No,2,130,22,2,Ixelles
3350,Not installed,Renovated,1050,No,Yes,No,2,130,22,2,Ixelles
4400,Not installed,Renovated,1050,No,Yes,No,2,200,22,2,Ixelles
4400,Not installed,Renovated,1050,No,Yes,No,2,200,22,2,Ixelles
4400,Not installed,Renovated,1050,No,Yes,No,2,200,22,2,Ixelles
4400,Not installed,Renovated,1050,No,Yes,No,2,200,22,2,Ixelles
4200,Not installed,Renovated,1050,No,Yes,No,1,200,25,2,Ixelles
4200,Not installed,Renovated,1050,No,Yes,No,1,200,25,2,Ixelles
4200,Not installed,Renovated,1050,No,Yes,No,1,200,25,2,Ixelles
4200,Not installed,Renovated,1050,No,Yes,No,1,200,25,2,Ixelles
1195,Hyper equipped,Good,1020,No,Yes,No,2,110,15,2,Laeken
1150,Hyper equipped,Good,1050,No,No,Unknown,1,128,10,1,Ixelles
1800,Not installed,Good,1000,No,Yes,No,3,152,10,2,Brussels City
2875,Not installed,Good,1000,No,Yes,No,3,150,10,3,Brussels City
2000,Not installed,Good,1000,No,Yes,No,3,152,10,2,Brussels City
6000,Not installed,Good,1000,No,Yes,No,3,200,10,3,Brussels City
1499,Hyper equipped,Renovated,1081,No,Yes,Yes,0,112,10,2,Koekelberg
1550,Hyper equipped,Renovated,1000,No,Yes,No,1,79,12,2,Brussels City
1950,Hyper equipped,Renovated,1000,No,Yes,Unknown,3,220,30,3,Brussels City
2800,Hyper equipped,Renovated,1050,No,Yes,No,2,160,16,2,Ixelles
735,Not installed,Good,1000,No,Yes,Yes,1,38,10,1,Brussels City
1360,Hyper equipped,Renovated,1160,No,Yes,No,2,100,13,2,Auderghem
1450,Hyper equipped,Renovated,1150,No,Yes,No,1,124,15,3,Woluwe-St-Pierre
1330,Hyper equipped,Renovated,1070,No,Yes,No,1,80,14,2,Anderlecht
2150,Hyper equipped,Renovated,1050,No,Yes,No,2,125,22,2,Ixelles
865,Installed,Renovated,1050,No,Yes,Yes,1,50,25,1,Ixelles
4200,Hyper equipped,Renovated,1180,No,Yes,Yes,2,170,23,2,Uccle
3350,Hyper equipped,Renovated,1180,No,Yes,Yes,2,100,24,2,Uccle
3350,Hyper equipped,Renovated,1180,No,Yes,Yes,2,100,12,2,Uccle
2375,Installed,Renovated,1180,No,Yes,Yes,2,134,24,3,Uccle
2800,Hyper equipped,Renovated,1180,No,Yes,No,2,141,10,3,Uccle
1325,Installed,Renovated,1050,No,Yes,No,2,77,16,1,Ixelles
1080,Installed,Good,1083,No,Yes,No,1,73,13,2,Ganshoren
1530,Hyper equipped,Good,1050,No,Yes,No,2,102,13,2,Ixelles
1500,Installed,Renovated,1050,No,Yes,No,1,94,15,2,Ixelles
910,Hyper equipped,Renovated,1083,No,Yes,No,1,63,14,1,Ganshoren
1790,Hyper equipped,Renovated,1081,No,Yes,No,2,115,16,3,Koekelberg
2680,Hyper equipped,Renovated,1050,No,Yes,No,2,170,15,3,Ixelles
1750,Hyper equipped,Renovated,1000,No,Yes,Yes,2,93,16,2,Brussels City
720,Installed,Good,1190,No,No,No,1,86,10,1,Forest
1600,Not installed,Good,1200,No,Yes,No,2,134,19,2,Woluwe-Saint-Lambert
1395,Hyper equipped,Renovated,1190,No,Yes,No,2,80,14,2,Forest
1050,Not installed,Renovated,1083,No,Yes,No,1,62,17,1,Ganshoren
875,Installed,Good,1200,No,Yes,No,1,65,14,1,Woluwe-Saint-Lambert
1270,Installed,Renovated,1000,No,Yes,No,1,78,11,2,Brussels City
1990,Hyper equipped,Good,1180,No,Yes,No,2,112,16,3,Uccle
1000,Installed,Renovated,1190,No,Yes,Yes,1,70,15,1,Forest
795,Installed,Good,1040,No,Yes,No,1,66,16,1,Etterbeek
2500,Hyper equipped,Renovated,1050,No,Yes,No,2,170,16,4,Ixelles
1350,Semi equipped,Renovated,1190,No,Yes,Unknown,1,85,10,2,Forest
